Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls_90;Ast_90;G+A_90;G-PK_90;G+A-PK_90;Matches
290;Armand Lauriente;fr FRA;FW;Sassuolo;27-170;1998;37;32;2,527;28.1;7;9;16;7;0;0;4;0;0.25;0.32;0.57;0.25;0.57;Matches
291;Matteo Lavelli;it ITA;FW;Inter;19-166;2006;1;0;8;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
292;Valentino Lazaro;at AUT;MF;Torino;30-060;1996;31;26;2,252;25.0;0;2;2;0;0;0;4;0;0.00;0.08;0.08;0.00;0.08;Matches
293;Manuel Lazzari;it ITA;DF;Lazio;32-175;1993;22;9;929;10.3;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
294;Andréa Le Borgne;fr FRA;MF;Como;19-300;2006;1;0;1;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
295;Nicola Leali;it ITA;GK;Genoa;33-095;1993;21;20;1,757;19.5;0;0;0;0;0;0;2;1;0.00;0.00;0.00;0.00;0.00;Matches
296;Rafael Leão;pt POR;FW;Milan;26-347;1999;28;23;1,828;20.3;9;3;12;7;2;2;5;0;0.44;0.15;0.59;0.34;0.49;Matches
297;Mehdi Léris;dz ALG;MF;Pisa;28-000;1998;33;20;1,830;20.3;2;3;5;2;0;0;2;0;0.10;0.15;0.25;0.10;0.25;Matches
298;Luca Lezzerini;it ITA;GK;Fiorentina;31-060;1995;1;0;4;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
299;Luca Lipani;it ITA;MF;Sassuolo;21-005;2005;23;9;952;10.6;0;1;1;0;0;0;3;0;0.00;0.09;0.09;0.00;0.09;Matches
