Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls_90;Ast_90;G+A_90;G-PK_90;G+A-PK_90;Matches
412;Loïs Openda;be BEL;FW,MF;Juventus;26-096;2000;24;6;666;7.4;1;0;1;1;0;0;0;0;0.14;0.00;0.14;0.14;0.14;Matches
413;Gift Orban;ng NGA;FW;Hellas Verona;23-310;2002;28;23;2,027;22.5;7;2;9;5;2;2;4;1;0.31;0.09;0.40;0.22;0.31;Matches
414;Christian Ordoñez;ar ARG;MF;Parma;21-303;2004;27;11;1,001;11.1;1;0;1;1;0;0;5;1;0.09;0.00;0.09;0.09;0.09;Matches
415;Gaetano Oristanio;it ITA;FW,MF;Parma;23-237;2002;20;8;859;9.5;1;0;1;1;0;0;1;0;0.10;0.00;0.10;0.10;0.10;Matches
416;Riccardo Orsolini;it ITA;MF,FW;Bologna;29-119;1997;35;26;2,111;23.5;10;1;11;6;4;6;2;0;0.43;0.04;0.47;0.26;0.30;Matches
417;Sebastian Otoa;dk DEN;DF;Genoa;22-010;2004;12;8;739;8.2;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
418;Latif Ouedraogo;bf BFA;DF;Genoa;18-212;2007;1;0;20;0.2;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
419;Daniel Oyegoke;eng ENG;MF,DF;Hellas Verona;23-140;2003;15;8;594;6.6;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
420;Daniele Padelli;it ITA;GK;Udinese;40-210;1985;2;2;180;2.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
421;Alberto Paleari;it ITA;GK;Torino;33-267;1992;28;28;2,520;28.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
422;Marco Palestra;it ITA;MF,DF;Cagliari;21-081;2005;36;34;3,053;33.9;1;4;5;1;0;0;3;0;0.03;0.12;0.15;0.03;0.15;Matches
423;Matteo Palma;de GER;DF;Udinese;18-071;2008;5;1;120;1.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
424;Fabiano Parisi;it ITA;MF,FW;Fiorentina;25-195;2000;23;18;1,520;16.9;1;1;2;1;0;0;6;0;0.06;0.06;0.12;0.06;0.12;Matches
425;Mario Pašalić;hr CRO;MF;Atalanta;31-103;1995;33;21;1,936;21.5;3;4;7;3;0;0;3;0;0.14;0.19;0.33;0.14;0.33;Matches
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Matches
426;Patric;es ESP;MF,DF;Lazio;33-036;1993;14;6;667;7.4;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
427;Benjamin Pavard;fr FRA;DF;Inter;30-056;1996;1;1;90;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
428;Strahinja Pavlović;rs SRB;DF;Milan;24-364;2001;33;32;2,779;30.9;5;1;6;5;0;0;3;0;0.16;0.03;0.19;0.16;0.19;Matches
429;Leonardo Pavoletti;it ITA;FW;Cagliari;37-178;1988;13;1;227;2.5;1;1;2;1;0;0;1;0;0.40;0.40;0.79;0.40;0.79;Matches
430;Martín Payero;ar ARG;MF;Cremonese;27-254;1998;25;16;1,457;16.2;1;0;1;1;0;0;8;0;0.06;0.00;0.06;0.06;0.06;Matches
431;Nicolás Paz;ar ARG;MF;Como;21-257;2004;35;33;2,878;32.0;12;6;18;12;0;2;5;0;0.38;0.19;0.56;0.38;0.56;Matches
432;Marcus Pedersen;no NOR;MF,DF;Torino;25-311;2000;28;22;2,066;23.0;1;2;3;1;0;0;3;0;0.04;0.09;0.13;0.04;0.13;Matches
433;Pedro;es ESP;FW,MF;Lazio;38-299;1987;28;8;922;10.2;4;2;6;2;2;2;4;0;0.39;0.20;0.59;0.20;0.39;Matches
434;Zé Pedro Figueiredo;pt POR;DF;Cagliari;28-351;1997;22;19;1,637;18.2;0;1;1;0;0;0;5;0;0.00;0.05;0.05;0.00;0.05;Matches
435;Lorenzo Pellegrini;it ITA;MF;Roma;29-338;1996;24;20;1,463;16.3;4;2;6;2;2;2;2;0;0.25;0.12;0.37;0.12;0.25;Matches
436;Luca Pellegrini;it ITA;DF;Lazio;27-077;1999;23;16;1,388;15.4;1;0;1;1;0;0;8;0;0.06;0.00;0.06;0.06;0.06;Matches
437;Mateo Pellegrino;ar ARG;FW;Parma;25-083;2001;36;33;2,894;32.2;8;1;9;7;1;1;5;0;0.25;0.03;0.28;0.22;0.25;Matches
438;Faris Pemi Moumbagna;cm CMR;FW;Cremonese;25-326;2000;5;0;93;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
439;Matías Pérez;cl CHI;DF;Lecce;21-040;2005;1;1;31;0.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
440;Simone Perilli;it ITA;GK;Hellas Verona;31-136;1995;3;3;270;3.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
441;Mattia Perin;it ITA;GK;Juventus;33-194;1992;8;8;675;7.5;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
442;Máximo Perrone;ar ARG;MF;Como;23-136;2003;35;32;2,652;29.5;3;4;7;3;0;0;8;0;0.10;0.14;0.24;0.10;0.24;Matches
443;Massimo Pessina;it ITA;GK;Bologna;18-149;2007;4;3;353;3.9;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
444;Giuseppe Pezzella;it ITA;MF,DF;Cremonese;28-175;1997;30;29;2,495;27.7;0;1;1;0;0;0;8;1;0.00;0.04;0.04;0.00;0.04;Matches
445;Gabriele Piccinini;it ITA;MF;Pisa;25-047;2001;24;5;846;9.4;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
446;Roberto Piccoli;it ITA;FW;Fiorentina;25-116;2001;32;16;1,672;18.6;4;1;5;4;0;0;1;0;0.22;0.05;0.27;0.22;0.27;Matches
447;Nicholas Pierini;it ITA;FW,MF;Sassuolo;27-290;1998;11;0;142;1.6;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
448;Santiago Pierotti;ar ARG;MF,FW;Lecce;25-050;2001;36;30;2,518;28.0;1;1;2;1;0;0;4;0;0.04;0.04;0.07;0.04;0.07;Matches
449;Balthazar Pierret;fr FRA;MF;Lecce;26-008;2000;3;0;27;0.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
450;Andrea Pinamonti;it ITA;FW;Sassuolo;27-004;1999;35;31;2,462;27.4;9;3;12;9;0;1;2;1;0.33;0.11;0.44;0.33;0.44;Matches
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Matches
451;Jakub Piotrowski;pl POL;MF;Udinese;28-231;1997;32;19;1,643;18.3;1;1;2;1;0;0;2;0;0.05;0.05;0.11;0.05;0.11;Matches
452;Niccolò Pisilli;it ITA;MF;Roma;21-242;2004;24;12;1,250;13.9;2;4;6;2;0;0;3;0;0.14;0.29;0.43;0.14;0.43;Matches
453;Tommaso Pobega;it ITA;MF;Bologna;26-312;1999;25;16;1,369;15.2;2;1;3;2;0;0;2;1;0.13;0.07;0.20;0.13;0.20;Matches
454;Matteo Politano;it ITA;MF,FW;Napoli;32-293;1993;33;25;2,121;23.6;2;5;7;2;0;0;4;0;0.08;0.21;0.30;0.08;0.30;Matches
455;Marin Pongračić;hr CRO;DF;Fiorentina;28-254;1997;35;33;2,918;32.4;0;0;0;0;0;0;12;0;0.00;0.00;0.00;0.00;0.00;Matches
456;Stefan Posch;at AUT;DF;Como;29-009;1997;14;3;393;4.4;1;0;1;1;0;0;1;0;0.23;0.00;0.23;0.23;0.23;Matches
457;Matteo Prati;it ITA;MF;Torino;22-146;2003;12;7;592;6.6;0;1;1;0;0;0;2;0;0.00;0.15;0.15;0.00;0.15;Matches
458;Matteo Prati;it ITA;MF;Cagliari;22-146;2003;20;15;1,268;14.1;1;0;1;1;0;0;4;0;0.07;0.00;0.07;0.07;0.07;Matches
459;Ivan Provedel;it ITA;GK;Lazio;32-067;1994;27;27;2,430;27.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
460;Christian Pulisic;us USA;FW;Milan;27-247;1998;29;18;1,564;17.4;8;4;12;8;0;1;0;0;0.46;0.23;0.69;0.46;0.69;Matches
461;Adrien Rabiot;fr FRA;MF;Milan;31-050;1995;28;27;2,460;27.3;6;4;10;6;0;0;6;1;0.22;0.15;0.37;0.22;0.37;Matches
462;Ylber Ramadani;al ALB;MF;Lecce;30-041;1996;36;36;3,115;34.6;1;0;1;1;0;0;9;0;0.03;0.00;0.03;0.03;0.03;Matches
463;Jacobo Ramón;es ESP;DF;Como;21-137;2005;31;29;2,652;29.5;2;0;2;2;0;0;11;1;0.07;0.00;0.07;0.07;0.07;Matches
464;Luca Ranieri;it ITA;DF;Fiorentina;27-030;1999;34;29;2,458;27.3;1;0;1;1;0;0;8;1;0.04;0.00;0.04;0.04;0.04;Matches
465;Giacomo Raspadori;it ITA;MF,FW;Atalanta;26-094;2000;13;7;796;8.8;3;1;4;3;0;0;0;0;0.34;0.11;0.45;0.34;0.45;Matches
466;Othniel Raterink;nl NED;DF;Cagliari;20-046;2006;1;0;7;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
467;Petar Ratkov;rs SRB;FW;Lazio;22-278;2003;8;2;233;2.6;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
468;Federico Ravaglia;it ITA;GK;Bologna;26-193;1999;17;16;1,470;16.3;0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
469;Devyne Rensch;nl NED;MF;Roma;23-125;2003;23;11;1,094;12.2;1;4;5;1;0;0;1;0;0.08;0.33;0.41;0.08;0.41;Matches
470;Samuele Ricci;it ITA;MF;Milan;24-275;2001;31;11;1,312;14.6;1;4;5;1;0;0;3;0;0.07;0.27;0.34;0.07;0.34;Matches
471;Amir Richardson;ma MAR;MF;Fiorentina;24-119;2002;2;0;42;0.5;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
472;Filippo Rinaldi;it ITA;GK;Parma;23-170;2002;1;1;90;1.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
473;Sergi Roberto;es ESP;MF;Como;34-105;1992;19;5;536;6.0;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
474;Jesus Rodríguez;es ESP;MF;Como;20-183;2005;30;17;1,668;18.5;1;8;9;1;0;0;2;1;0.05;0.43;0.49;0.05;0.49;Matches
475;Juan Rodríguez;uy URU;DF;Cagliari;20-358;2005;16;15;1,249;13.9;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Matches
476;Filippo Romagna;it ITA;DF;Sassuolo;28-362;1997;5;4;313;3.5;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
477;Alessio Romagnoli;it ITA;DF;Lazio;31-131;1995;31;30;2,576;28.6;0;0;0;0;0;0;6;1;0.00;0.00;0.00;0.00;0.00;Matches
478;Alessandro Romano;ch SUI;MF;Roma;19-340;2006;2;0;8;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
479;Marten de Roon;nl NED;MF;Atalanta;35-055;1991;34;32;2,691;29.9;1;2;3;1;0;0;8;1;0.03;0.07;0.10;0.03;0.10;Matches
480;Nicolò Rovella;it ITA;MF;Lazio;24-170;2001;11;6;512;5.7;0;1;1;0;0;0;2;1;0.00;0.18;0.18;0.00;0.18;Matches
481;Jonathan Rowe;eng ENG;MF,FW;Bologna;23-023;2003;27;16;1,515;16.8;3;2;5;3;0;0;2;0;0.18;0.12;0.30;0.18;0.30;Matches
482;Amir Rrahmani;xk KVX;DF;Napoli;32-088;1994;20;20;1,705;18.9;2;1;3;2;0;0;2;0;0.11;0.05;0.16;0.11;0.16;Matches
483;Daniele Rugani;it ITA;DF;Fiorentina;31-298;1994;6;4;327;3.6;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
484;Daniele Rugani;it ITA;DF;Juventus;31-298;1994;6;3;250;2.8;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
485;Stefano Sabelli;it ITA;MF,DF;Genoa;33-130;1993;15;11;854;9.5;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
486;Abdelhamid Sabiri;ma MAR;MF;Fiorentina;29-176;1996;1;0;27;0.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
487;Alexis Saelemaekers;be BEL;MF;Milan;26-330;1999;34;32;2,698;30.0;2;3;5;2;0;0;5;0;0.07;0.10;0.17;0.07;0.17;Matches
488;Álex Sala;es ESP;MF;Lecce;25-044;2001;9;2;167;1.9;0;1;1;0;0;0;0;0;0.00;0.54;0.54;0.00;0.54;Matches
489;Lazar Samardzic;rs SRB;MF;Atalanta;24-088;2002;26;11;1,030;11.4;2;1;3;2;0;0;1;0;0.17;0.09;0.26;0.17;0.26;Matches
490;Antonio Sanabria;py PAR;FW;Cremonese;30-080;1996;25;10;945;10.5;1;1;2;1;0;0;2;0;0.10;0.10;0.19;0.10;0.19;Matches
491;Yellu Santiago;es ESP;MF;Hellas Verona;21-363;2004;2;0;6;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
492;Alisson Santos;br BRA;MF,FW;Napoli;23-238;2002;13;8;825;9.2;4;0;4;4;0;0;1;0;0.44;0.00;0.44;0.44;0.44;Matches
493;Jeremy Sarmiento;ec ECU;MF;Cremonese;23-341;2002;7;0;142;1.6;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
494;Amin Sarr;se SWE;FW,MF;Hellas Verona;25-073;2001;33;9;1,081;12.0;0;1;1;0;0;0;2;1;0.00;0.08;0.08;0.00;0.08;Matches
495;Razvan Sava;ro ROU;GK;Udinese;23-336;2002;7;6;620;6.9;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
496;Giorgio Scalvini;it ITA;DF;Atalanta;22-163;2003;24;23;1,808;20.1;3;1;4;3;0;0;2;0;0.15;0.05;0.20;0.15;0.20;Matches
497;Gianluca Scamacca;it ITA;FW;Atalanta;27-142;1999;24;16;1,315;14.6;10;1;11;8;2;2;2;0;0.68;0.07;0.75;0.55;0.62;Matches
498;Simone Scuffet;it ITA;GK;Pisa;29-357;1996;7;7;630;7.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
499;Adrian Šemper;hr CRO;GK;Pisa;28-131;1998;24;24;2,160;24.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
500;Suat Serdar;de GER;MF;Hellas Verona;29-042;1997;20;12;1,108;12.3;2;0;2;2;0;0;3;0;0.16;0.00;0.16;0.16;0.16;Matches
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Matches
501;Stephan El Shaarawy;it ITA;MF,FW;Roma;33-208;1992;19;5;647;7.2;0;2;2;0;0;0;4;0;0.00;0.28;0.28;0.00;0.28;Matches
502;Jamil Siebert;de GER;DF;Lecce;24-051;2002;20;17;1,611;17.9;1;0;1;1;0;0;3;0;0.06;0.00;0.06;0.06;0.06;Matches
503;Marco Silvestri;it ITA;GK;Cremonese;35-082;1991;4;4;360;4.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
504;Giovanni Simeone;ar ARG;FW;Torino;30-322;1995;31;26;2,140;23.8;11;0;11;11;0;0;1;0;0.46;0.00;0.46;0.46;0.46;Matches
505;Leo Skiri Østigård;no NOR;DF;Genoa;26-176;1999;30;30;2,622;29.1;5;1;6;5;0;0;7;0;0.17;0.03;0.21;0.17;0.21;Matches
506;Laurs Skjellerup;dk DEN;FW;Sassuolo;23-284;2002;1;0;10;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
507;Łukasz Skorupski;pl POL;GK;Bologna;35-018;1991;18;18;1,502;16.7;0;0;0;0;0;0;1;1;0.00;0.00;0.00;0.00;0.00;Matches
508;Tobias Slotsager;dk DEN;DF;Hellas Verona;20-142;2006;8;4;446;5.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
509;Ivan Smolčić;hr CRO;DF;Como;25-279;2000;27;18;1,572;17.5;0;1;1;0;0;0;8;0;0.00;0.06;0.06;0.00;0.06;Matches
510;Simon Sohm;ch SUI;MF;Bologna;25-042;2001;12;9;717;8.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
511;Simon Sohm;ch SUI;MF;Fiorentina;25-042;2001;16;9;708;7.9;0;1;1;0;0;0;2;0;0.00;0.13;0.13;0.00;0.13;Matches
512;Oumar Solet;fr FRA;DF;Udinese;26-105;2000;34;33;2,869;31.9;3;1;4;2;1;1;1;0;0.09;0.03;0.13;0.06;0.09;Matches
513;Manor Solomon;il ISR;FW,MF;Fiorentina;26-303;1999;16;9;890;9.9;2;1;3;2;0;0;1;0;0.20;0.10;0.30;0.20;0.30;Matches
514;Daniele Sommariva;it ITA;GK;Genoa;28-309;1997;2;1;176;2.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
515;Yann Sommer;ch SUI;GK;Inter;37-157;1988;33;33;2,960;32.9;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
516;Riccardo Sottil;it ITA;FW,MF;Lecce;26-354;1999;21;13;1,066;11.8;1;2;3;1;0;0;1;0;0.08;0.17;0.25;0.08;0.25;Matches
517;Matìas Soulé;ar ARG;MF,FW;Roma;23-038;2003;32;27;2,068;23.0;6;5;11;6;0;0;1;0;0.26;0.22;0.48;0.26;0.48;Matches
518;Leonardo Spinazzola;it ITA;MF,DF;Napoli;33-059;1993;32;22;1,901;21.1;3;3;6;3;0;0;2;0;0.14;0.14;0.28;0.14;0.28;Matches
519;Marco Sportiello;it ITA;GK;Atalanta;34-013;1992;1;1;90;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
520;Nicolae Stanciu;ro ROU;MF;Genoa;33-016;1993;4;2;180;2.0;0;0;0;0;0;1;0;0;0.00;0.00;0.00;0.00;0.00;Matches
521;Calvin Stengs;nl NED;FW,MF;Pisa;27-156;1998;4;0;46;0.5;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
522;Filip Stojilković;ch SUI;FW,MF;Pisa;26-139;2000;12;7;597;6.6;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
523;Gabriel Strefezza;br BRA;FW;Parma;29-035;1997;14;13;1,007;11.2;2;2;4;2;0;0;3;0;0.18;0.18;0.36;0.18;0.36;Matches
524;Nikola Štulić;rs SRB;FW;Lecce;24-257;2001;33;20;1,698;18.9;4;0;4;3;1;1;1;0;0.21;0.00;0.21;0.16;0.16;Matches
525;Petar Sucic;hr CRO;MF;Inter;22-210;2003;33;20;1,692;18.8;2;2;4;2;0;0;5;0;0.11;0.11;0.21;0.11;0.21;Matches
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Matches
526;Ibrahim Sulemana;gh GHA;MF;Cagliari;23-001;2003;15;7;843;9.4;1;0;1;1;0;0;1;0;0.11;0.00;0.11;0.11;0.11;Matches
527;Ibrahim Sulemana;gh GHA;MF;Bologna;23-001;2003;3;0;45;0.5;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
528;Kamaldeen Sulemana;gh GHA;MF;Atalanta;24-097;2002;25;9;1,011;11.2;2;1;3;2;0;0;4;0;0.18;0.09;0.27;0.18;0.27;Matches
529;Tomáš Suslov;sk SVK;FW;Hellas Verona;23-350;2002;10;4;389;4.3;0;0;0;0;0;0;1;1;0.00;0.00;0.00;0.00;0.00;Matches
530;Zion Suzuki;jp JPN;GK;Parma;23-275;2002;20;20;1,800;20.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
531;Mile Svilar;rs SRB;GK;Roma;26-269;1999;37;37;3,330;37.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
532;Adrien Tameze;cm CMR;DF;Torino;32-108;1994;24;12;1,120;12.4;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
533;Nuno Tavares;pt POR;DF;Lazio;26-117;2000;23;17;1,473;16.4;0;0;0;0;0;0;5;0;0.00;0.00;0.00;0.00;0.00;Matches
534;Kenneth Taylor;nl NED;MF;Lazio;24-007;2002;17;17;1,394;15.5;3;2;5;3;0;0;5;0;0.19;0.13;0.32;0.19;0.32;Matches
535;Filippo Terracciano;it ITA;DF;Cremonese;23-104;2003;35;32;2,929;32.5;2;0;2;2;0;0;6;0;0.06;0.00;0.06;0.06;0.06;Matches
536;Pietro Terracciano;it ITA;GK;Milan;36-076;1990;2;1;125;1.4;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
537;Morten Thorsby;no NOR;MF;Genoa;30-018;1996;13;8;731;8.1;2;1;3;2;0;0;2;0;0.25;0.12;0.37;0.25;0.37;Matches
538;Morten Thorsby;no NOR;MF;Cremonese;30-018;1996;10;7;598;6.6;1;0;1;1;0;0;1;0;0.15;0.00;0.15;0.15;0.15;Matches
539;Kristian Thorstvedt;no NOR;MF;Sassuolo;27-071;1999;31;26;2,370;26.3;4;4;8;4;0;0;8;0;0.15;0.15;0.30;0.15;0.30;Matches
540;Khéphren Thuram;fr FRA;MF;Juventus;25-058;2001;34;29;2,373;26.4;3;2;5;3;0;0;2;0;0.11;0.08;0.19;0.11;0.19;Matches
541;Marcus Thuram;fr FRA;FW;Inter;28-290;1997;29;24;1,900;21.1;13;6;19;13;0;0;2;0;0.62;0.28;0.90;0.62;0.90;Matches
542;Fikayo Tomori;eng ENG;DF;Milan;28-155;1997;32;30;2,494;27.7;0;2;2;0;0;0;8;1;0.00;0.07;0.07;0.00;0.07;Matches
543;Idrissa Touré;de GER;MF;Pisa;28-024;1998;32;26;2,279;25.3;1;0;1;1;0;0;4;1;0.04;0.00;0.04;0.04;0.04;Matches
544;Mattéo Tramoni;fr FRA;MF,FW;Pisa;26-123;2000;27;21;1,600;17.8;2;2;4;1;1;1;3;0;0.11;0.11;0.23;0.06;0.17;Matches
545;Yael Trepy;;FW;Cagliari;;;8;0;91;1.0;1;0;1;1;0;0;0;0;0.99;0.00;0.99;0.99;0.99;Matches
546;Mariano Troilo;ar ARG;DF;Parma;22-335;2003;20;17;1,535;17.1;1;0;1;1;0;0;8;2;0.06;0.00;0.06;0.06;0.06;Matches
547;Kostas Tsimikas;gr GRE;MF;Roma;30-011;1996;18;6;644;7.2;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
548;Stefano Turati;it ITA;GK;Sassuolo;24-260;2001;5;5;450;5.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
549;Lautaro Valenti;ar ARG;DF;Parma;27-129;1999;26;24;2,192;24.4;0;0;0;0;0;0;6;0;0.00;0.00;0.00;0.00;0.00;Matches
550;Nicolás Valentini;ar ARG;DF;Hellas Verona;25-047;2001;20;14;1,360;15.1;0;0;0;0;0;0;6;0;0.00;0.00;0.00;0.00;0.00;Matches
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Matches
551;Emanuele Valeri;it ITA;MF,DF;Parma;27-167;1998;33;28;2,568;28.5;0;2;2;0;0;0;2;0;0.00;0.07;0.07;0.00;0.07;Matches
552;Álex Valle;es ESP;DF;Como;22-028;2004;28;23;2,026;22.5;1;4;5;1;0;0;3;0;0.04;0.18;0.22;0.04;0.22;Matches
553;Ignace Van Der Brempt;be BEL;DF;Como;24-052;2002;19;11;916;10.2;0;1;1;0;0;0;2;0;0.00;0.10;0.10;0.00;0.10;Matches
554;Jari Vandeputte;be BEL;MF;Cremonese;30-098;1996;31;23;1,869;20.8;1;5;6;1;0;0;2;0;0.05;0.24;0.29;0.05;0.29;Matches
555;Jamie Vardy;eng ENG;FW;Cremonese;39-132;1987;28;23;2,015;22.4;7;2;9;7;0;0;4;0;0.31;0.09;0.40;0.31;0.40;Matches
556;Johan Vásquez;mx MEX;DF;Genoa;27-213;1998;36;36;3,215;35.7;1;0;1;1;0;0;2;0;0.03;0.00;0.03;0.03;0.03;Matches
557;Dominic Vavassori;it ITA;FW;Atalanta;20-165;2005;1;0;10;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
558;Robinio Vaz;fr FRA;FW;Roma;19-095;2007;11;0;209;2.3;1;0;1;1;0;0;0;0;0.43;0.00;0.43;0.43;0.43;Matches
559;Franco Vázquez;ar ARG;FW,MF;Cremonese;37-090;1989;15;4;524;5.8;1;1;2;1;0;0;1;0;0.17;0.17;0.34;0.17;0.34;Matches
560;Matías Vecino;uy URU;MF;Lazio;34-272;1991;13;5;603;6.7;0;1;1;0;0;0;1;0;0.00;0.15;0.15;0.00;0.15;Matches
561;Danilo Veiga;pt POR;DF;Lecce;23-240;2002;35;32;2,930;32.6;0;1;1;0;0;0;9;0;0.00;0.03;0.03;0.00;0.03;Matches
562;Lorenzo Venturino;it ITA;FW;Genoa;19-335;2006;2;0;40;0.4;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
563;Lorenzo Venturino;it ITA;MF;Roma;19-335;2006;10;1;207;2.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
564;Antonio Vergara;it ITA;MF;Napoli;23-127;2003;12;8;612;6.8;1;2;3;1;0;0;2;0;0.15;0.29;0.44;0.15;0.44;Matches
565;Ioan Vermeșan;ro ROU;FW;Hellas Verona;19-217;2006;5;0;75;0.8;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
566;Mattia Viti;it ITA;MF,DF;Fiorentina;24-119;2002;10;2;265;2.9;0;0;0;0;0;0;3;1;0.00;0.00;0.00;0.00;0.00;Matches
567;Martin Vitík;cz CZE;DF;Bologna;23-122;2003;19;14;1,325;14.7;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
568;Vitinha;pt POR;FW,MF;Genoa;26-069;2000;35;28;2,226;24.7;5;1;6;5;0;0;5;0;0.20;0.04;0.24;0.20;0.24;Matches
569;Dušan Vlahović;rs SRB;FW;Juventus;26-115;2000;18;10;907;10.1;5;1;6;4;1;1;0;0;0.50;0.10;0.60;0.40;0.50;Matches
